time in seconds, count in bar, beats in bar
0 , 1 , 4
0.43 , 2 , 4
0.86 , 3 , 4
1.29 , 4 , 4
1.72 , 1 , 4
2.15 , 2 , 4
2.58 , 3 , 4
3.01 , 4 , 4
3.44 , 1 , 4
3.87 , 2 , 4
4.3 , 3 , 4
4.73 , 4 , 4
5.16 , 1 , 4
5.59 , 2 , 4
6.02 , 3 , 4
6.45 , 4 , 4
6.88 , 1 , 4
7.31 , 2 , 4
7.74 , 3 , 4
8.17 , 4 , 4
8.6 , 1 , 4
9.03 , 2 , 4
9.46 , 3 , 4
9.89 , 4 , 4
10.32 , 1 , 4
10.75 , 2 , 4
11.18 , 3 , 4
11.61 , 4 , 4
12.04 , 1 , 4
12.47 , 2 , 4
12.9 , 3 , 4
13.33 , 4 , 4
13.76 , 1 , 4
14.19 , 2 , 4
14.62 , 3 , 4
15.05 , 4 , 4
15.48 , 1 , 4
15.91 , 2 , 4
16.34 , 3 , 4
16.77 , 4 , 4
17.2 , 1 , 4
17.63 , 2 , 4
18.06 , 3 , 4
18.49 , 4 , 4
18.92 , 1 , 4
19.35 , 2 , 4
19.78 , 3 , 4
20.21 , 4 , 4
20.64 , 1 , 4
21.07 , 2 , 4
21.5 , 3 , 4
21.93 , 4 , 4
22.36 , 1 , 4
22.79 , 2 , 4
23.22 , 3 , 4
23.65 , 4 , 4
24.08 , 1 , 4
24.51 , 2 , 4
24.94 , 3 , 4
25.37 , 4 , 4
25.8 , 1 , 4
26.23 , 2 , 4
26.66 , 3 , 4
27.09 , 4 , 4
27.52 , 1 , 4
27.95 , 2 , 4
28.38 , 3 , 4
28.81 , 4 , 4
29.24 , 1 , 4
29.67 , 2 , 4
30.1 , 3 , 4
30.53 , 4 , 4
30.96 , 1 , 4
31.39 , 2 , 4
31.82 , 3 , 4
32.25 , 4 , 4
32.68 , 1 , 4
33.11 , 2 , 4
33.54 , 3 , 4
33.97 , 4 , 4
34.4 , 1 , 4
34.83 , 2 , 4
35.26 , 3 , 4
35.69 , 4 , 4
36.12 , 1 , 4
36.55 , 2 , 4
36.98 , 3 , 4
37.41 , 4 , 4
37.84 , 1 , 4
38.27 , 2 , 4
38.7 , 3 , 4
39.13 , 4 , 4
39.56 , 1 , 4
39.99 , 2 , 4
40.42 , 3 , 4
40.85 , 4 , 4
41.28 , 1 , 4
41.71 , 2 , 4
42.14 , 3 , 4
42.57 , 4 , 4
42.99 , 1 , 4
43.41 , 2 , 4
43.83 , 3 , 4
44.25 , 4 , 4
44.67 , 1 , 4
45.09 , 2 , 4
45.51 , 3 , 4
45.91 , 4 , 4
46.31 , 1 , 4
46.71 , 2 , 4
47.13 , 3 , 4
47.55 , 4 , 4
47.97 , 1 , 4
48.39 , 2 , 4
48.81 , 3 , 4
49.23 , 4 , 4
49.65 , 1 , 4
50.07 , 2 , 4
50.49 , 3 , 4
50.91 , 4 , 4
51.33 , 1 , 4
51.75 , 2 , 4
52.15 , 3 , 4
52.55 , 4 , 4
52.95 , 1 , 4
53.37 , 2 , 4
53.79 , 3 , 4
54.21 , 4 , 4
54.63 , 1 , 3
55.05 , 2 , 3
55.47 , 3 , 3
55.9 , 1 , 4
56.33 , 2 , 4
56.75 , 3 , 4
57.17 , 4 , 4
57.59 , 1 , 4
58.01 , 2 , 4
58.41 , 3 , 4
58.81 , 4 , 4
59.21 , 1 , 4
59.61 , 2 , 4
60.03 , 3 , 4
60.45 , 4 , 4
60.87 , 1 , 4
61.29 , 2 , 4
61.71 , 3 , 4
62.13 , 4 , 4
62.55 , 1 , 4
62.97 , 2 , 4
63.39 , 3 , 4
63.81 , 4 , 4
64.23 , 1 , 4
64.65 , 2 , 4
65.07 , 3 , 4
65.49 , 4 , 4
65.91 , 1 , 4
66.31 , 2 , 4
66.71 , 3 , 4
67.11 , 4 , 4
67.51 , 1 , 4
67.91 , 2 , 4
68.31 , 3 , 4
68.71 , 4 , 4
69.11 , 1 , 4
69.51 , 2 , 4
69.93 , 3 , 4
70.35 , 4 , 4
70.77 , 1 , 4
71.19 , 2 , 4
71.62 , 3 , 4
