time in seconds, count in bar, beats in bar
0.25 , 2 , 4
0.64 , 3 , 4
1.03 , 4 , 4
1.42 , 1 , 4
1.81 , 2 , 4
2.2 , 3 , 4
2.59 , 4 , 4
2.98 , 1 , 4
3.37 , 2 , 4
3.75 , 3 , 4
4.13 , 4 , 4
4.51 , 1 , 4
4.89 , 2 , 4
5.27 , 3 , 4
5.65 , 4 , 4
6.03 , 1 , 4
6.41 , 2 , 4
6.78 , 3 , 4
7.15 , 4 , 4
7.52 , 1 , 4
7.9 , 2 , 4
8.28 , 3 , 4
8.66 , 4 , 4
9.04 , 1 , 4
9.42 , 2 , 4
9.8 , 3 , 4
10.18 , 4 , 4
10.57 , 1 , 4
10.96 , 2 , 4
11.35 , 3 , 4
11.74 , 4 , 4
12.12 , 1 , 4
12.5 , 2 , 4
12.88 , 3 , 4
13.26 , 4 , 4
13.64 , 1 , 4
14.02 , 2 , 4
14.41 , 3 , 4
14.8 , 4 , 4
15.19 , 1 , 4
15.58 , 2 , 4
15.96 , 3 , 4
16.34 , 4 , 4
16.72 , 1 , 4
17.1 , 2 , 4
17.48 , 3 , 4
17.86 , 4 , 4
18.24 , 1 , 4
18.61 , 2 , 4
18.98 , 3 , 4
19.35 , 4 , 4
19.72 , 1 , 4
20.09 , 2 , 4
20.46 , 3 , 4
20.84 , 4 , 4
21.22 , 1 , 4
21.6 , 2 , 4
21.98 , 3 , 4
22.36 , 4 , 4
22.74 , 1 , 4
23.12 , 2 , 4
23.5 , 3 , 4
23.88 , 4 , 4
24.27 , 1 , 4
24.66 , 2 , 4
25.05 , 3 , 4
25.44 , 4 , 4
25.82 , 1 , 4
26.2 , 2 , 4
26.58 , 3 , 4
26.96 , 4 , 4
27.34 , 1 , 4
27.72 , 2 , 4
28.11 , 3 , 4
28.5 , 4 , 4
28.89 , 1 , 4
29.28 , 2 , 4
29.66 , 3 , 4
30.04 , 4 , 4
30.42 , 1 , 4
30.8 , 2 , 4
31.18 , 3 , 4
31.56 , 4 , 4
31.94 , 1 , 4
32.32 , 2 , 4
32.7 , 3 , 4
33.09 , 4 , 4
33.48 , 1 , 4
33.87 , 2 , 4
34.26 , 3 , 4
34.65 , 4 , 4
